Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,133.679993,134.300003,131.020004,131.270004,114.11245,9139800
2010-07-01,131.690002,133.75,129.5,131.139999,113.999374,11645300
2010-07-02,132.110001,132.380005,129.690002,131.080002,113.947235,6566400
2010-07-06,133.740005,134.389999,131.070007,132.259995,114.97303,7820100
2010-07-07,132.440002,136.130005,132.070007,135.830002,118.076393,9300400
2010-07-08,136.919998,137.169998,133.559998,135.460007,117.754753,9895700
2010-07-09,135.360001,138.5,134.589996,138.059998,120.014915,6919900
2010-07-12,137.610001,138.309998,136.029999,137.25,119.31076,4728900
2010-07-13,138.5,141.199997,138.110001,140.25,121.918671,8983900
2010-07-14,139.289993,139.589996,137.649994,139.059998,120.884193,6068500
2010-07-15,140.020004,146.25,137.820007,145.220001,126.239075,21621900
2010-07-16,151.470001,152,146.050003,146.169998,127.064926,29604600
2010-07-19,147.669998,147.699997,144.100006,145.679993,126.638908,10875900
2010-07-20,142.179993,149.729996,141.550003,148.910004,129.446808,20571400
2010-07-21,150.050003,150.970001,146.860001,146.990005,127.777718,11337000
2010-07-22,148.880005,149.880005,144.160004,146.550003,127.395233,13307300
2010-07-23,146.649994,148.410004,144.570007,147.380005,128.116745,7306900
2010-07-26,147.389999,149,145.210007,148.199997,128.829605,6089000
2010-07-27,149.089996,149.660004,147,147.229996,127.98632,7151200
2010-07-28,147,148.649994,146.779999,147.199997,127.960258,4845600
2010-07-29,148.270004,153.149994,147.630005,152.580002,132.637131,15657700
2010-07-30,151.350006,153.410004,150.800003,150.820007,131.107117,8792400
2010-08-02,152.820007,153.639999,151.610001,152.740005,132.776169,6523100
2010-08-03,152.119995,153.960007,151.410004,153.190002,133.167328,5648500
2010-08-04,153.619995,157.25,153,156.410004,135.966492,12283700
2010-08-05,155.630005,156.220001,154.399994,155.919998,135.540573,5680200
2010-08-06,154.539993,156.059998,153.770004,155.179993,134.897278,8082600
2010-08-09,155.929993,156.199997,154.589996,155.399994,135.088501,4209800
2010-08-10,154.020004,154.770004,153.179993,153.899994,133.784592,5861700
2010-08-11,151.720001,152,148.910004,149.25,129.74234,7734400
2010-08-12,147.809998,150.589996,147.809998,149.419998,129.890106,4949300
2010-08-13,149.380005,150.449997,148.080002,148.080002,128.72525,4218700
2010-08-16,147.580002,149.179993,147,147.759995,128.447098,3760100
2010-08-17,148.679993,149.789993,148.139999,148.589996,129.168579,4391600
2010-08-18,148.539993,149.940002,147.729996,149.199997,129.698898,4460600
2010-08-19,148.669998,149.660004,146.279999,147.050003,127.829918,5290900
2010-08-20,147.440002,148.970001,147.25,148.240005,128.864304,5276800
2010-08-23,148.119995,148.5,146.600006,146.740005,127.56044,3729200
2010-08-24,144.800003,145.490005,143.820007,143.949997,125.135056,6372300
2010-08-25,142.809998,145.330002,142.75,144.679993,125.769653,5638400
2010-08-26,144.940002,145.160004,141.660004,141.809998,123.274796,6818100
2010-08-27,141.130005,141.740005,138.25,139.75,121.484032,11252000
2010-08-30,138.830002,140.110001,136.649994,136.660004,119.096161,6205800
2010-08-31,136.25,138.009995,135.789993,136.929993,119.331474,7064100
2010-09-01,139.009995,140.339996,137.800003,139.740005,121.780342,6897700
2010-09-02,139.929993,140.149994,138.449997,139.779999,121.815178,4992000
2010-09-03,141.619995,147.990005,141.330002,147.289993,128.360016,13588500
2010-09-07,146.149994,146.240005,144.149994,145.210007,126.547302,6211300
2010-09-08,145.380005,149.660004,145.360001,147.539993,128.577866,8310300
2010-09-09,149.789993,150.679993,148.5,149.139999,129.972198,6729800
2010-09-10,149.460007,150.75,148.809998,150.389999,131.061539,4417200
2010-09-13,152.320007,154.699997,152.300003,154.369995,134.53009,7653600
2010-09-14,153.539993,153.75,152.229996,152.529999,132.926514,5688200
2010-09-15,151.669998,152.800003,150.669998,152.559998,132.952682,5698200
2010-09-16,152.279999,152.479996,151.160004,152.229996,132.665054,4388600
2010-09-17,152.110001,152.470001,150.559998,150.979996,131.57576,4835600
2010-09-20,150.979996,152.399994,149.889999,151.899994,132.377487,5640500
2010-09-21,152.110001,154.570007,151.089996,151.399994,131.941772,6876000
2010-09-22,149.949997,150.550003,147.690002,148.070007,129.039703,8986100
2010-09-23,146.360001,146.869995,143.979996,144.910004,126.285912,9152400
2010-09-24,146.25,147.600006,145.820007,147.279999,128.351334,5623700
2010-09-27,147.009995,148.410004,145.779999,146,127.235832,5205900
2010-09-28,146.509995,146.690002,144.059998,145.009995,126.372993,5504800
2010-09-29,145.020004,145.020004,142.539993,144.419998,125.858856,6944900
2010-09-30,145.25,146.979996,144.300003,144.580002,125.998314,6854400
2010-10-01,145.199997,148.5,144.820007,147.699997,128.71727,7439800
2010-10-04,147.699997,148.470001,144.699997,146.570007,127.732544,5866700
2010-10-05,147.559998,150.279999,146.070007,149.570007,130.346985,8724700
2010-10-06,149.75,152.330002,149.130005,150.839996,131.453705,6330600
2010-10-07,152.110001,152.360001,150.029999,151.110001,131.689056,4471500
2010-10-08,151.149994,153.399994,150.619995,152.660004,133.039871,5225100
2010-10-11,152.669998,153.089996,151.270004,152.199997,132.638947,4454400
2010-10-12,151.300003,155.449997,151.009995,155.210007,135.262115,6378000
2010-10-13,156.300003,156.690002,154.389999,154.729996,134.843781,5626200
2010-10-14,154.229996,154.289993,150.550003,151.589996,132.107346,6891100
2010-10-15,152.690002,152.690002,150.660004,150.690002,131.322998,6901500
2010-10-18,150.929993,154.380005,150.850006,153.699997,133.946106,6972300
2010-10-19,155.139999,159.699997,154.110001,156.720001,136.578049,14491200
2010-10-20,156.210007,160.25,154.860001,159.600006,139.087906,10631200
2010-10-21,159.580002,161.5,158.100006,159.300003,138.826447,6350900
2010-10-22,159.889999,159.979996,157.5,157.759995,137.484406,4051700
2010-10-25,159.360001,159.449997,156.270004,157.389999,137.161942,5728300
2010-10-26,156.720001,158.729996,156.529999,158.289993,137.946274,4068500
2010-10-27,157.190002,160.589996,157,160.149994,139.567215,6570900
2010-10-28,160.860001,163.789993,160.440002,163.240005,142.260086,9918800
2010-10-29,162.149994,163.600006,160.949997,161.130005,140.42128,4536600
2010-11-01,161.770004,162.960007,160.169998,161.570007,140.804672,4514400
2010-11-02,162.059998,163,161.800003,162.820007,141.894119,3332400
2010-11-03,163.179993,163.179993,160.570007,162.630005,141.728485,4462800
2010-11-04,163.619995,166.399994,162.690002,166.389999,145.005234,8162600
2010-11-05,165.990005,171.179993,165.919998,171.070007,149.083771,11989300
2010-11-08,169.949997,171.610001,169.100006,169.199997,147.454056,5516100
2010-11-09,170.300003,170.850006,166,166.550003,145.144623,7343900
2010-11-10,166.309998,168.649994,165.570007,167.220001,145.728592,6328100
2010-11-11,165.789993,168.889999,165.789993,167.710007,146.155579,3931500
2010-11-12,166.389999,168.119995,164.649994,165.830002,144.517197,4735600
2010-11-15,165.679993,169.350006,165.009995,167.220001,145.728592,5199000
2010-11-16,165.800003,167,164.660004,165.100006,143.880997,5914100
2010-11-17,165.119995,165.729996,164,164.889999,143.697998,3726300
2010-11-18,165.690002,168.929993,165.600006,167.350006,145.841812,4987500
2010-11-19,167.5,167.75,165.699997,166.669998,145.249237,4584500
2010-11-22,164.300003,164.380005,158.449997,161.050003,140.351486,11364000
2010-11-23,159.100006,160.899994,157.660004,157.779999,137.50177,7315000
2010-11-24,158.960007,160.699997,158.550003,160.259995,139.66304,4258200
2010-11-26,158.460007,159.350006,158.070007,158.220001,137.885208,1876900
2010-11-29,157.490005,160,157,159.279999,138.80899,4819900
2010-11-30,158.070007,159.330002,156.139999,156.139999,136.372238,5416900
2010-12-01,158.449997,159.199997,157,158.449997,138.389755,6024000
2010-12-02,159.160004,163.25,158.839996,162.5,141.927002,7208600
